User,alfaromeo,samsung,lavazza,armani,adidas,microsoft,barilla,ferrero,delonghi,amarelli
007maybe,0.8333333333333334,0.5,0.5,0.5,0.6666666666666666,0.5,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666
21Phylk,0.5,0.5,0.5,0.8333333333333334,0.8333333333333334,0.5,0.5,0.5,0.5,0.5
ABO_mondo,0.8333333333333334,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,0.5
ACE2276,0.6666666666666666,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
AGnomblea,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6666666666666666,0.5,0.6666666666666666
AIMSAccountants,0.8333333333333334,0.5,0.8333333333333334,0.6666666666666666,0.6666666666666666,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5
ASomaliyeed,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
AgriculturaIT,0.5,0.6666666666666666,0.5,0.5,0.5,0.6666666666666666,0.5,0.6666666666666666,0.5,0.6666666666666666
Ajentek_,0.5,0.5,0.5,0.5,0.5,0.3333333333333333,0.6666666666666666,0.5,0.6666666666666666,0.5
Alessia65531701,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
AliTMumof3,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Allinhubs,0.5,0.5,0.5,0.5,0.5,0.5,0.6666666666666666,0.5,0.6666666666666666,0.5
AmandaGem5,0.5,0.5,0.5,0.5,0.5,0.6666666666666666,0.5,0.3333333333333333,0.5,0.3333333333333333
AmberGalore,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
AngelFeatherSky,0.6666666666666666,0.5,0.5,0.5,0.6666666666666666,0.5,0.6666666666666666,0.5,0.6666666666666666,0.5
Anna31746749,0.5,0.5,0.5,0.5,0.5,0.5,0.6666666666666666,0.5,0.6666666666666666,0.5
AnotherSnackRev,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
AnteaterButters,0.3333333333333333,0.5,0.8333333333333334,0.5,0.5,0.5,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334
AntonelloDiGenn,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
ArchitRoma,0.6666666666666666,0.5,0.6666666666666666,0.6666666666666666,0.5,0.5,0.8333333333333334,0.6666666666666666,0.6666666666666666,0.5
Arena_vision1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
ArtBlocksEngine,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.5
Artistic_Flow92,0.5,0.6666666666666666,0.5,0.5,0.5,0.6666666666666666,0.5,0.5,0.5,0.5
AshleyUGCsocial,0.8333333333333334,0.5,0.8333333333333334,0.5,0.6666666666666666,0.5,0.6666666666666666,0.5,0.8333333333333334,0.5
AspireLev,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.3333333333333333,0.5,0.3333333333333333
Asudtraleparole,0.6666666666666666,0.5,0.5,0.5,0.6666666666666666,0.5,0.5,0.5,0.5,0.5
BCLONA,0.5,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.5,0.6666666666666666,0.5
BKKNX2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
BPH83,0.3333333333333333,0.5,0.3333333333333333,0.5,0.5,0.6666666666666666,0.5,0.6666666666666666,0.5,0.6666666666666666
BRI_on_FB_TTV,0.6666666666666666,0.5,0.5,0.5,0.6666666666666666,0.5,0.5,0.6666666666666666,0.5,0.6666666666666666
Bargainhunter85,0.5,0.5,0.5,0.6666666666666666,0.6666666666666666,0.5,0.5,0.5,0.5,0.5
BarrieP27355579,0.5,0.5,0.5,0.5,0.5,0.5,0.6666666666666666,0.5,0.6666666666666666,0.5
BenediktAcht,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Biagio960,0.8333333333333334,0.5,0.6666666666666666,0.6666666666666666,0.5,0.5,0.6666666666666666,0.6666666666666666,0.5,0.5
Bioseutica,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.5,0.5,0.6666666666666666,0.5,0.6666666666666666,0.3333333333333333,0.6666666666666666
BlatantClothing,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
BlazRainSadhu,0.5,0.5,0.5,0.5,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
Blissfulccoffee,0.6666666666666666,0.5,0.6666666666666666,0.5,0.5,0.5,0.5,0.5,0.6666666666666666,0.5
BurtonAlbionCT,0.8333333333333334,0.5,0.5,0.6666666666666666,0.8333333333333334,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
CLHNews,0.5,0.8333333333333334,0.6666666666666666,0.5,0.5,0.8333333333333334,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666
COROsservatorio,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6666666666666666,0.5,0.6666666666666666
Caffdependent,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Calabria_7,0.6666666666666666,0.8333333333333334,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.5,0.5,0.16666666666666666,0.8333333333333334,0.3333333333333333
Canadian_Family,0.5,0.8333333333333334,0.5,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.5,0.5,0.5,0.5
CarrieBmth,0.5,0.5,0.6666666666666666,0.5,0.5,0.5,0.5,0.5,0.6666666666666666,0.5
Carrolishere,0.6666666666666666,0.6666666666666666,0.5,0.5,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.5,0.6666666666666666,0.5
CatherineCSG,0.6666666666666666,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
